time,actor,id,durationOrDestinationId
1171,S,4,8
1175,T,391,-1
1175,T,391,1
1175,S,1,8
1179,T,392,-1
1179,T,392,0
1179,S,0,12
1182,T,393,-1
1182,T,393,2
1182,S,2,5
1186,T,394,-1
1186,T,394,1
1186,S,1,7
1187,T,395,-1
1187,T,395,3
1187,S,3,16
1190,T,396,-1
1190,T,396,2
1190,S,2,12
1192,T,397,-1
1192,T,397,0
1192,S,0,7
1197,T,398,-1
1197,T,398,1
1197,S,1,10
1198,T,399,-1
1198,T,399,4
1198,S,4,13
1203,T,400,-1
1203,T,400,2
1203,S,2,8
1204,T,401,-1
1204,T,401,3
1204,S,3,12
1209,T,402,-1
1209,T,402,1
1209,S,1,15
1214,T,403,-1
1214,T,403,2
1214,S,2,7
1215,T,404,-1
1215,T,404,0
1215,S,0,6
1218,T,405,-1
1218,T,405,3
1218,S,3,5
1221,T,406,-1
1221,T,406,2
1221,S,2,16
1226,T,407,-1
1226,T,407,3
1226,S,3,5
1231,T,408,-1
1231,T,408,1
1231,S,1,8
1232,T,409,-1
1232,T,409,0
1232,S,0,6
1235,T,410,-1
1235,T,410,3
1235,S,3,16
1236,T,411,-1
1236,T,411,4
1236,S,4,7
1239,T,412,-1
1239,T,412,2
1239,S,2,11
1241,T,413,-1
1241,T,413,0
1241,S,0,7
1246,T,414,-1
1246,T,414,1
1246,S,1,6
1249,T,415,-1
1249,T,415,0
1249,S,0,10
1250,T,416,-1
1250,T,416,2
1250,S,2,10
1253,T,417,-1
1253,T,417,3
1253,S,3,5
1258,T,418,-1
1258,T,418,3
1258,S,3,7
1262,T,419,-1
1262,T,419,2
1262,S,2,12
1264,T,420,-1
1264,T,420,0
1264,S,0,12
1266,T,421,-1
1266,T,421,1
1266,S,1,10
1269,T,422,-1
1269,T,422,3
1269,S,3,14
1271,T,423,-1
1271,T,423,4
1271,S,4,12
1272,T,424,-1
1274,T,424,2
1274,S,2,16
1277,T,425,-1
1277,T,425,0
1277,S,0,16
1281,T,426,-1
1281,T,426,1
1281,S,1,12
1283,T,427,-1
1283,T,427,3
1283,S,3,10
1286,T,428,-1
1286,T,428,4
1286,S,4,9
1288,T,429,-1
1290,T,429,2
1290,S,2,14
1291,T,430,-1
1293,T,430,3
1293,S,3,12
1294,T,431,-1
1294,T,431,1
1294,S,1,12
1297,T,432,-1
1297,T,432,0
1297,S,0,6
1301,T,433,-1
1301,T,433,4
1301,S,4,10
1303,T,434,-1
1303,T,434,0
1303,S,0,11
1304,T,435,-1
1304,T,435,2
1304,S,2,15
1309,T,436,-1
1309,T,436,3
1309,S,3,16
1310,T,437,-1
1310,T,437,1
1310,S,1,13
1315,T,438,-1
1315,T,438,0
1315,S,0,7
1320,T,439,-1
