time,actor,id,durationOrDestinationId
1049,T,350,-1
1051,T,349,0
1051,S,0,14
1052,T,350,1
1052,S,1,6
1054,T,351,-1
1054,T,351,3
1054,S,3,13
1057,T,352,-1
1057,T,352,2
1057,S,2,5
1058,T,353,-1
1058,T,353,1
1058,S,1,14
1063,T,354,-1
1063,T,354,2
1063,S,2,5
1064,T,355,-1
1065,T,355,0
1065,S,0,8
1069,T,356,-1
1069,T,356,3
1069,S,3,7
1072,T,357,-1
1072,T,357,1
1072,S,1,10
1077,T,358,-1
1077,T,358,2
1077,S,2,9
1078,T,359,-1
1078,T,359,3
1078,S,3,7
1081,T,360,-1
1081,T,360,0
1081,S,0,8
1085,T,361,-1
1085,T,361,1
1085,S,1,12
1090,T,362,-1
1090,T,362,3
1090,S,3,9
1091,T,363,-1
1091,T,363,0
1091,S,0,15
1096,T,364,-1
1096,T,364,2
1096,S,2,12
1101,T,365,-1
1101,T,365,3
1101,S,3,13
1106,T,366,-1
1106,T,366,1
1106,S,1,7
1110,T,367,-1
1110,T,367,0
1110,S,0,8
1113,T,368,-1
1113,T,368,2
1113,S,2,6
1114,T,369,-1
1114,T,369,1
1114,S,1,12
1115,T,370,-1
1115,T,370,3
1115,S,3,6
1116,T,371,-1
1117,T,372,-1
1118,T,371,0
1118,S,0,7
1119,T,373,-1
1119,T,372,2
1119,S,2,10
1121,T,374,-1
1121,T,373,3
1121,S,3,10
1125,T,375,-1
1125,T,374,0
1125,S,0,13
1126,T,375,1
1126,S,1,9
1129,T,376,-1
1129,T,376,2
1129,S,2,16
1131,T,377,-1
1131,T,377,3
1131,S,3,9
1132,T,378,-1
1134,T,379,-1
1135,T,378,1
1135,S,1,12
1136,T,380,-1
1138,T,379,0
1138,S,0,16
1140,T,380,3
1140,S,3,8
1141,T,381,-1
1145,T,381,2
1145,S,2,13
1146,T,382,-1
1147,T,383,-1
1147,T,382,1
1147,S,1,12
1148,T,384,-1
1148,T,383,3
1148,S,3,10
1149,T,385,-1
1152,T,386,-1
1154,T,384,0
1154,S,0,8
1155,T,387,-1
1158,T,385,2
1158,S,2,7
1158,T,386,3
1158,S,3,13
1159,T,387,1
1159,S,1,11
1160,T,388,-1
1162,T,389,-1
1162,T,388,0
1162,S,0,12
1165,T,389,2
1165,S,2,9
1167,T,390,-1
1170,T,390,1
1170,S,1,5
1172,T,391,-1
1172,T,391,3
1172,S,3,11
1177,T,392,-1
1177,T,392,2
1177,S,2,11
1181,T,393,-1
1181,T,393,0
1181,S,0,9
1182,T,394,-1
1182,T,394,1
1182,S,1,13
1183,T,395,-1
1183,T,395,3
1183,S,3,11
1186,T,396,-1
1188,T,396,2
1188,S,2,13
1189,T,397,-1
1190,T,398,-1
1190,T,397,0
1190,S,0,16
1194,T,399,-1
1194,T,398,3
1194,S,3,12
1195,T,400,-1
1195,T,399,1
1195,S,1,16
